"";"shan";"aspt";"poly";"ovov";"rich";"typo";"RR"
"I1001122030706";2,63882615076299;5,38095238095238;0,337554078829459;0,18052772226512;46;17;"IRR T"
"I1001122070711";3,47456858973015;5,59375;0,308823810605579;0,171529273609071;50;17;"IRR T"
"I1001122070906";3,65691365572058;5,9;0,321010840668046;0,188526782825392;51;17;"IRR T"
"I1001122100713";2,68439928348293;5,61538461538461;0,335453625073019;0,228235153552092;45;17;"IRR T"
"I1001122130907";3,84103445323663;5,68965517241379;0,296293456154958;0,168648272432911;57;17;"IRR T"
"I1001122160609";3,77599947428382;5,54166666666667;0,329548556828327;0,175956024601223;44;17;"IRR T"
"I1001122180705";3,61048451671685;5,60606060606061;0,31339695824597;0,194914244440077;59;17;"IRR T"
"I1001122190710";3,59837808623533;5,71428571428571;0,29783104857226;0,164697207340971;47;17;"IRR T"
"I1001122220607";3,12683531735445;5,71428571428571;0,33469796504461;0,18744226675131;57;17;"IRR T"
"I1001122240608";3,59625712446924;5,82608695652174;0,335813489902147;0,197733855999476;47;17;"IRR T"
"I1001122260712";3,13350969300842;5,59259259259259;0,302290702862222;0,186857221922568;48;17;"IRR T"
"I1001336060807";2,40114615862899;5,6;0,423196520117937;0,24012802452393;33;57;"IRR T"
"I1001336090713";2,37275619648377;5,54545454545455;0,413674694123166;0,264310957285489;34;57;"IRR T"
"I1001336110610";2,63910621048842;5,6;0,414510531399784;0,211789448675131;34;57;"IRR T"
"I1001336180609";1,39006717505329;4,53333333333333;0,4856417837769;0,211421479485761;28;57;"IRR T"
"I1001336210611";2,36133505703543;5,22222222222222;0,464297480547424;0,222321670895907;29;57;"IRR T"
"I1001336280612";2,2412309542636;5,72727272727273;0,432677170076116;0,28235841556145;34;57;"IRR T"
"I1001336300608";1,74430360520091;5,625;0,469464157246086;0,239598061240671;28;57;"IRR T"
"I1001452060807";2,46471875329515;3,93333333333333;0,451709227650551;0,207977420192498;24;17;"IRR T"
"I1001452160609";2,10699085166535;4,52941176470588;0,495228473689796;0,221444529807519;24;17;"IRR T"
"I1001452170713";2,28035500577905;4,25;0,491309439166102;0,272227402220253;23;17;"IRR T"
"I1001452250608";2,24320807954727;3,84615384615385;0,507432519215476;0,245098603402521;23;17;"IRR T"
"I1001452280612";1,45379299548298;4,23529411764706;0,496793977845868;0,246149553050631;27;17;"IRR T"
"I1001452290610";1,18232955257977;3,81818181818182;0,5458551669473;0,249373629835438;20;17;"IRR T"
"I1001503030706";3,16627605004273;5,35294117647059;0,30853574041447;0,184730740227447;55;18;"IRR T"
"I1001503040711";2,76726391563955;5,48275862068965;0,347543201805856;0,216182528862072;47;18;"IRR T"
"I1001503060906";3,5487484639723;5,38709677419355;0,294135335861641;0,17271587766055;56;18;"IRR T"
"I1001503090710";3,63024265656174;6,04347826086957;0,334093796841522;0,201799479265549;47;18;"IRR T"
"I1001503120907";3,33917945110784;5,72727272727273;0,314005162149857;0,144719274187978;58;18;"IRR T"
"I1001503160707";4,06301227339675;5,73333333333333;0,335798816062481;0,19439871761728;54;18;"IRR T"
"I1001503170713";3,42284567668223;5,92;0,369453310571487;0,228317499162833;45;18;"IRR T"
"I1001503180705";3,48056662346188;5,51724137931035;0,307745672467776;0,186244082394407;51;18;"IRR T"
"I1001503240608";3,42047329196114;5,96;0,354476500678498;0,224245352282847;46;18;"IRR T"
"I1001503260712";4,04622329323012;5,73684210526316;0,374358582051506;0,248915269819187;35;18;"IRR T"
"I1001503290609";3,34429184279364;5,69565217391304;0,348504624013713;0,221434269678603;48;18;"IRR T"
"I1001785130611";2,55006374021699;4,47619047619048;0,472442102929181;0,303816210808115;31;36;"IRR T"
"I1001785160910";2,40267127915528;4,4375;0,454451029752973;0,319218798604358;28;36;"IRR T"
"I1001785190713";1,93793473616023;4,38095238095238;0,443316937315055;0,309013649222471;30;36;"IRR T"
"I1001785200612";2,36799319143364;4,80952380952381;0,443477254543335;0,2951055605442;33;36;"IRR T"
"I1006000060807";2,30278742380471;4,8695652173913;0,372102215969201;0,201364789435204;57;57;"IRR T"
"I1006000110712";2,63654743135253;4,33333333333333;0,451039292870596;0,252891687566177;35;57;"IRR T"
"I1006000170609";2,05513173826747;5,33333333333333;0,458584171761855;0,234236187098988;39;57;"IRR T"
"I1006000170713";1,98278065223351;4,63636363636364;0,464754464686691;0,17570948953301;51;57;"IRR T"
"I1006000200711";1,98110817852605;4,90322580645161;0,393474916354843;0,226027357048646;48;57;"IRR T"
"I1006000260608";2,17877439320549;4,74074074074074;0,43268197402017;0,264146091082207;45;57;"IRR T"
"I1006000280710";2,57025821234644;4,87096774193548;0,372561567803018;0,233701362223907;52;57;"IRR T"
"I1008000020807";3,62096474533725;5,20833333333333;0,364043377950642;0,210369544896444;42;17;"IRR T"
"I1008000070711";2,90440606263225;5,3125;0,363296867318647;0,191069802946936;59;17;"IRR T"
"I1008000170609";2,54220147605652;5,16666666666667;0,429410681462315;0,329072928365767;41;17;"IRR T"
"I1008000250608";3,06681952527141;5,52173913043478;0,443934826243499;0,279065327206845;37;17;"IRR T"
"I1008000251012";4,00997517299142;5,61290322580645;0,328155313205755;0,205021789292495;51;17;"IRR T"
"I1008000260710";2,27516493851533;5,16666666666667;0,406183211479188;0,243115251477155;53;17;"IRR T"
"I1008000270913";3,83477150193039;5,42424242424242;0,30845371934618;0,211834730792295;49;17;"IRR T"
"I1009000040711";2,99433628423654;4,77777777777778;0,402919624781165;0,239346899562031;39;17;"IRR T"
"I1009000080710";2,68586709709781;5,2962962962963;0,361810192338735;0,194411490057299;47;17;"IRR T"
"I1009000160609";3,12599761197556;5,15384615384615;0,376040716841728;0,203999820591186;42;17;"IRR T"
"I1009000170713";3,28324891944784;5,16666666666667;0,337886474912524;0,196764075511829;45;17;"IRR T"
"I1009000240608";3,04819122472063;5,27272727272727;0,378792586312348;0,209525970096891;40;17;"IRR T"
"I1009000260712";3,45734735590075;4,91666666666667;0,366477489157684;0,233221128101589;41;17;"IRR T"
"I1009000310707";3,04208781915759;4,88;0,352939194972757;0,218780202236043;47;17;"IRR T"
"I1009100110712";2,24943324171032;4,52941176470588;0,397731963861833;0,304254549417972;28;57;"IRR T"
"I1009100160713";2,94126000306569;4,11764705882353;0,374192610927292;0,254332197899995;36;57;"IRR T"
"I1009100170609";2,05719188487562;5,1;0,379867426667211;0,260945529665906;34;57;"IRR T"
"I1009100190710";2,82919437255433;4,22222222222222;0,382126108125351;0,367599248586979;34;57;"IRR T"
"I1009100260608";2,42700537670977;5,13636363636364;0,394314683513418;0,27890879035105;41;57;"IRR T"
"I1009300160713";2,72555064765859;4,95238095238095;0,349007278882804;0,261813692452253;33;57;"IRR T"
"I1009300160811";1,88958898619125;3,71428571428571;0,436061317453053;0,285412523625257;31;57;"IRR T"
"I1009300200809";1,59538606454289;4,73684210526316;0,399742319231743;0,235282984289556;30;57;"IRR T"
"I1009300250712";1,11438532888199;4,64705882352941;0,428106355355119;0,249292218294937;25;57;"IRR T"
"I1009300260810";2,17344967654727;4,66666666666667;0,402534476628783;0,247101111035502;29;57;"IRR T"
"I1009600090713";3,07013234323539;4,75;0,460052098576191;0,318388032605037;33;57;"IRR T"
"I1009600150611";2,21508778812081;4,83333333333333;0,449000538810005;0,293682272173365;30;57;"IRR T"
"I1009600150910";2,21630884378044;4,94117647058824;0,399365592751947;0,224578815309956;42;57;"IRR T"
"I1009700040711";1,76868570496136;4,95833333333333;0,392106381609965;0,262508926411626;36;17;"IRR T"
"I1009700080710";2,61904384911634;5,14814814814815;0,35616316273283;0,253896117467889;45;17;"IRR T"
"I1009700170713";2,49543375765798;5,41666666666667;0,336105839134299;0,205778050296124;44;17;"IRR T"
"I1009700260712";2,59291288108781;5,29166666666667;0,389882145253086;0,234286056511582;40;17;"IRR T"
"I1010000020712";2,31391904247582;4,41176470588235;0,494947609527402;0,288334521450455;29;36;"IRR T"
"I1010000050710";1,61798099082248;4,58823529411765;0,474470611984136;0,243774572690748;35;36;"IRR T"
"I1010000150910";0,96391102589839;4,47058823529412;0,46472887649149;0,252698444243063;33;36;"IRR T"
"I1010000160713";2,00050433977975;3,63636363636364;0,486924454887739;0,214636026779455;32;36;"IRR T"
"I1010000180707";2,49311927301067;4,375;0,476938703156987;0,2847393729354;27;36;"IRR T"
"I1010000190608";2,75512598055886;4,47368421052632;0,503442510397439;0,227355596712716;31;36;"IRR T"
"I1010000270611";1,45365559554499;4,86666666666667;0,500698715582465;0,280149005605386;23;36;"IRR T"
"I1010000300609";1,25393333240052;4,84615384615385;0,503759059381304;0,254780862510959;24;36;"IRR T"
"I1024000020708";2,8269937565584;4,47368421052632;0,40975307610725;0,287873818026015;31;35;"IRR T"
"I1024000020710";3,26420502748475;4,53846153846154;0,355411013254726;0,240232605812221;41;35;"IRR T"
"I1024000030807";1,86668337615858;4,09523809523809;0,383573775217129;0,212597393641158;41;35;"IRR T"
"I1024000260913";1,57774979877869;2,8;0,428258209016242;0,15940299997326;33;35;"IRR T"
"I1024000270612";3,01582154244364;3,71428571428571;0,382638260929923;0,31304929107114;30;35;"IRR T"
"I1024000280611";2,72534928259843;3,85714285714286;0,384053189244547;0,296113669427917;34;35;"IRR T"
"I1024000300609";3,64134253401046;4,5;0,409288511576583;0,304257935839731;38;35;"IRR T"
"I1027000020708";1,65920570446943;4,05263157894737;0,479887302400343;0,312811477049717;27;35;"IRR T"
"I1027000030807";2,43447065287397;3,8125;0,433768815504375;0,208113972991394;30;35;"IRR T"
"I1027000050710";2,54352429539621;4,15789473684211;0,447582116974641;0,345960261476722;29;35;"IRR T"
"I1027000180713";2,32833237390478;4,27777777777778;0,416134531875757;0,297533865845812;28;35;"IRR T"
"I1027000230712";1,21684414689715;3,86666666666667;0,537290748144099;0,383373861331249;23;35;"IRR T"
"I1027000270611";2,6295298588686;4,09523809523809;0,506468525915553;0,259300189448432;30;35;"IRR T"
"I1027000300609";0,969080187427529;4,0625;0,51041219910112;0,295678159608981;30;35;"IRR T"
"I1028000010708";2,5083846515172;4,42105263157895;0,471625057206059;0,226233787225321;29;35;"IRR T"
"I1028000020712";3,02304665742311;4,66666666666667;0,446711176872663;0,331270166296304;26;35;"IRR T"
"I1028000040807";3,07580270096865;4,58333333333333;0,414388472451188;0,232864482461164;36;35;"IRR T"
"I1028000180713";2,86855858919169;4,83333333333333;0,427186346092229;0,250570707944459;30;35;"IRR T"
"I1028000190609";2,43326270678872;4,8;0,475527605339192;0,164934067351168;27;35;"IRR T"
"I1028000290610";2,13116951207842;4,95238095238095;0,424848746801586;0,220784356693572;34;35;"IRR T"
"I1028000300611";2,3106293360608;4,78260869565217;0,42847880014076;0,30136809799073;30;35;"IRR T"
"I1029000010708";2,85783196005938;4,36842105263158;0,469477214748833;0,261232156219744;32;35;"IRR T"
"I1029000040610";2,96658337975737;4,22727272727273;0,444672713782741;0,269531187123769;31;35;"IRR T"
"I1029000170611";2,69304984430831;4,21739130434783;0,47910676110994;0,313333148081859;30;35;"IRR T"
"I1029000180609";2,56033337359839;4,05555555555556;0,463719145328365;0,251524226894026;30;35;"IRR T"
"I1029000180713";2,45547933224764;4,3125;0,44945568952108;0,378320869266925;28;35;"IRR T"
"I1029000190707";3,0205708903898;3,95238095238095;0,494135446158582;0,251651791293719;31;35;"IRR T"
"I1029000270612";3,18528815472496;4;0,505250400405912;0,338266711745136;32;35;"IRR T"
"I1032000010708";2,79355866727273;4,05263157894737;0,445679213495242;0,273417095050427;28;57;"IRR T"
"I1032000110610";2,65998566803784;4,40909090909091;0,386449021073962;0,258390849415716;35;57;"IRR T"
"I1032000170611";2,75808794871622;4,54545454545455;0,415384734192221;0,228735348601103;29;57;"IRR T"
"I1032000180609";2,45674595770777;4,06666666666667;0,475301905857912;0,2644855839923;24;57;"IRR T"
"I1032000250913";3,34454217169327;4,66666666666667;0,352796085586411;0,247898039978285;35;57;"IRR T"
"I1032000280612";3,26026366273055;4,8695652173913;0,353412849146162;0,238361548209604;34;57;"IRR T"
