nb_opecont	riviere	operateur	annee	no_riviere
20090101	ALLIER	CEMAG_VA	2009	1
20090102	ALLIER	CEMAG_MC	2009	1
20090103	ALLIER	DREAL	2009	1
20090104	ALLIER	BE	2009	1
20090301	AUSTREBERTHE	CEMAG_VA	2009	3
20090302	AUSTREBERTHE	CEMAG_MC	2009	3
20090303	AUSTREBERTHE	DREAL	2009	3
20090304	AUSTREBERTHE	BE	2009	3
20090403	BEUVE	DREAL	2009	4
20090404	BEUVE	BE	2009	4
20090503	CHER	DREAL1	2009	5
20090504	CHER	DREAL2	2009	5
20090601	CLEURIE	CEMAG_VA	2009	6
20090602	CLEURIE	CEMAG_MC	2009	6
20090603	CLEURIE	DREAL1	2009	6
20090604	CLEURIE	DREAL2	2009	6
20090701	COLAGNE	CEMAG_VA	2009	7
20090702	COLAGNE	CEMAG_MC	2009	7
20090703	COLAGNE	DREAL	2009	7
20090704	COLAGNE	BE	2009	7
20090801	DESGES	CEMAG_VA	2009	8
20090802	DESGES	CEMAG_MC	2009	8
20090803	DESGES	DREAL1	2009	8
20090804	DESGES	DREAL2	2009	8
20090901	DIVES	CEMAG_VA	2009	9
20090902	DIVES	CEMAG_MC	2009	9
20090903	DIVES	DREAL	2009	9
20090904	DIVES	BE	2009	9
20091001	DOUX	CEMAG_VA	2009	10
20091002	DOUX	CEMAG_MC	2009	10
20091003	DOUX	DREAL1	2009	10
20091004	DOUX	DREAL2	2009	10
20091101	EAULNE	CEMAG_VA	2009	11
20091102	EAULNE	CEMAG_MC	2009	11
20091103	EAULNE	DREAL	2009	11
20091104	EAULNE	BE	2009	11
20091201	ESCOURCE	CEMAG_VA	2009	12
20091202	ESCOURCE	CEMAG_MC	2009	12
20091203	ESCOURCE	DREAL	2009	12
20091204	ESCOURCE	BE	2009	12
20091301	GLAND	CEMAG_VA	2009	13
20091302	GLAND	CEMAG_MC	2009	13
20091303	GLAND	DREAL1	2009	13
20091304	GLAND	DREAL2	2009	13
20091401	HERAULT	CEMAG_VA	2009	14
20091402	HERAULT	CEMAG_MC	2009	14
20091403	HERAULT	DREAL	2009	14
20091404	HERAULT	BE	2009	14
20091501	JOYEUSE	CEMAG_VA	2009	15
20091502	JOYEUSE	CEMAG_MC	2009	15
20091503	JOYEUSE	DREAL	2009	15
20091601	LERGUE	CEMAG_VA	2009	16
20091602	LERGUE	CEMAG_MC	2009	16
20091603	LERGUE	DREAL	2009	16
20091604	LERGUE	BE	2009	16
20091701	LEYSSE	CEMAG_VA	2009	17
20091702	LEYSSE	CEMAG_MC	2009	17
20091703	LEYSSE	DREAL1	2009	17
20091704	LEYSSE	DREAL2	2009	17
20091801	LOT	CEMAG_VA	2009	18
20091802	LOT	CEMAG_MC	2009	18
20091803	LOT	DREAL	2009	18
20091804	LOT	BE	2009	18
20091901	OISE	CEMAG_VA	2009	19
20091902	OISE	CEMAG_MC	2009	19
20091903	OISE	DREAL1	2009	19
20091904	OISE	DREAL2	2009	19
20092001	REMEL	CEMAG_VA	2009	20
20092002	REMEL	CEMAG_MC	2009	20
20092003	REMEL	DREAL1	2009	20
20092004	REMEL	DREAL2	2009	20
20092101	ROUVRE	CEMAG_VA	2009	21
20092102	ROUVRE	CEMAG_MC	2009	21
20092103	ROUVRE	DREAL	2009	21
20092104	ROUVRE	BE	2009	21
20092201	SAULDRE	CEMAG_VA	2009	22
20092202	SAULDRE	CEMAG_MC	2009	22
20092203	SAULDRE	DREAL	2009	22
20092301	SAYE	CEMAG_VA	2009	23
20092302	SAYE	CEMAG_MC	2009	23
20092303	SAYE	DREAL	2009	23
20092304	SAYE	BE	2009	23
20092401	SEGRE	CEMAG_VA	2009	24
20092402	SEGRE	CEMAG_MC	2009	24
20092403	SEGRE	DREAL	2009	24
20092404	SEGRE	BE	2009	24
