typo_nationale;typo_I2M2_v2;typo_intercal;HG;GM;MP;PB
G1;1;R-A2;0,665;0,46;0,306;0,153
M1;1;R-A2;0,665;0,46;0,306;0,153
P1;2;R-A2;0,665;0,46;0,306;0,153
P14/1;3;R-A2;0,665;0,46;0,306;0,153
TP1;4;R-A2;0,665;0,46;0,306;0,153
G2;5;R-A2;0,665;0,46;0,306;0,153
MP2;6;R-A2;0,665;0,46;0,306;0,153
TP2;7;R-A2;0,665;0,46;0,306;0,153
G3;8;NA;0,665;0,498;0,332;0,166
G3/19-8;8;NA;0,665;0,498;0,332;0,166
G17/3-21;9;R-C5;0,665;0,443;0,295;0,148
G21;9;NA;0,665;0,498;0,332;0,166
M11/3-21;10;R-C4;0,665;0,443;0,295;0,148
M14/3-11;10;R-C4;0,665;0,443;0,295;0,148
GM19/8;11;NA;0,665;0,498;0,332;0,166
M14/3-8;11;R-C4;0,665;0,443;0,295;0,148
M3/8;11;NA;0,665;0,498;0,332;0,166
P11/3-21;12;R-C3;0,665;0,443;0,295;0,148
P17/3-21;12;R-C3;0,665;0,443;0,295;0,148
P21;12;R-C3;0,665;0,443;0,295;0,148
P3;13;R-C3;0,665;0,443;0,295;0,148
TP21;14;R-C3;0,665;0,443;0,295;0,148
M10/4;15;R-C4;0,665;0,443;0,295;0,148
M4;15;R-C3;0,665;0,443;0,295;0,148
P4;16;R-C3;0,665;0,443;0,295;0,148
GM22;17;NA;0,665;0,498;0,332;0,166
P22;17;R-C3;0,665;0,443;0,295;0,148
TP22;18;R-C3;0,665;0,443;0,295;0,148
M5;19;R-A1;0,605;0,354;0,236;0,118
G5;20;NA;0,665;0,498;0,332;0,166
GM5/2;20;R-A2;0,665;0,46;0,306;0,153
P5;21;R-A1;0,605;0,354;0,236;0,118
TP5;22;R-A1;0,605;0,354;0,236;0,118
G16;23;R-M3;0,665;0,498;0,332;0,166
GM6/1;23;R-M3;0,665;0,498;0,332;0,166
GM6/2-7;23;R-M3;0,665;0,498;0,332;0,166
GM6/8;24;R-M3;0,665;0,498;0,332;0,166
GM8;25;R-M3;0,665;0,498;0,332;0,166
M8-A;25;R-M2;0,676;0,464;0,31;0,155
G6;26;R-M3;0,665;0,498;0,332;0,166
M16-B;26;R-M2;0,676;0,464;0,31;0,155
MP6;26;R-M4;0,676;0,464;0,31;0,155
TP6;27;R-M4;0,676;0,464;0,31;0,155
GMP7;28;R-M4;0,676;0,464;0,31;0,155
TP7;29;R-M4;0,676;0,464;0,31;0,155
PTP8;30;R-M1;0,676;0,464;0,31;0,155
PTP8-A;31;R-M1;0,676;0,464;0,31;0,155
M9;32;R-C4;0,665;0,443;0,295;0,148
M9/10;32;R-C4;0,665;0,443;0,295;0,148
G9-10/21;33;R-C5;0,665;0,443;0,295;0,148
M9-10/21;33;R-C4;0,665;0,443;0,295;0,148
M9-A;34;R-C4;0,665;0,443;0,295;0,148
P9-A;34;R-C6;0,665;0,443;0,295;0,148
P9;35;R-C6;0,665;0,443;0,295;0,148
TP9;36;R-C6;0,665;0,443;0,295;0,148
G10;37;R-C5;0,665;0,443;0,295;0,148
G10/4;37;NA;0,665;0,498;0,332;0,166
G18/4;37;R-C5;0,665;0,443;0,295;0,148
G9;37;R-C5;0,665;0,443;0,295;0,148
G9/10;37;R-C5;0,665;0,443;0,295;0,148
