"";"Shannon (B1B2)";"ASPT (B2B3)";"Polyvoltinism (B1B2B3)";"Ovoviviparity (B1B2B3)";"Richness (B1B2B3)"
"20090101";0,304538179974129;0,811567164179104;0,761839307413684;0,968262606396359;0,737263270205388
"20090102";0,77809583281771;0,757462686567164;0,812393830412258;0,95857293894853;0,843958388903708
"20090103";0,692346906540367;0,804904051172708;0,853377676799045;0,945512773917881;0,843958388903708
"20090104";0,944882711614263;0,926616915422886;0,95444802842943;0,938114241038772;0,950653507602027
"20090301";0,61083430202149;0,0348473924537369;0,330003877699687;0,158318272361174;0,223043332213638
"20090302";0,593313816143289;0,0684931506849313;0,331250877176715;0;0,357406785354384
"20090303";0,602865549393889;0,0913242009132421;0,154963507353585;0,199182841660029;0,39099764863957
"20090304";0,426405314950078;0;0,335006748466616;0;0,0550890157877058
"20090403";0,209887381265069;0,279187817258883;0,47100338093133;0,102472949433792;0,323111443530292
"20090404";0,306175397319007;0,44839255499154;0,420989828317177;0,0241885094787407;0,809274495138369
"20090503";0,951740309663731;0,795847750865052;0,904663510148542;0,789106161542794;0,98804780876494
"20090504";0,952638011751806;0,786898938074216;0,844898644383551;0,79549902869868;0,943780433820274
"20090601";0,121558293679139;0,469990766389658;0,397055620376561;0,842563952488394;0,443508771929825
"20090602";0,182663770470005;0,333333333333333;0,442120401888242;0,78729658885943;0,513684210526316
"20090603";0,155152134725028;0,329434697855751;0,338751126531183;0,784056945242482;0,548771929824561
"20090604";0,23572232496479;0,564499484004128;0,333308447579901;0,828982654210714;0,513684210526316
"20090701";0,318200292353375;0,796973961998593;0,82464477171003;0,842842396093437;0,925043008110101
"20090702";0,303110533249098;0,924036281179138;0,855361597734248;0,849591460647413;0,974195133939543
"20090703";0,465593208973365;0,908163265306123;0,843480238472341;0,936188511767789;0,851314819365938
"20090704";0,630200005196712;0,687274909963986;0,937070203082048;0,917105167074029;1
"20090801";0,280676476374016;0,97667638483965;0,830600003648369;0,955355282019283;0,728434504792332
"20090802";0,499538148141353;0,890804597701149;0,892716349050209;0,908269243230456;0,703858441877611
"20090803";0,628235163059999;0,917737465356513;0,949505816499897;0,986589929651359;0,802162693536495
"20090804";0,867828899675609;0,902533427163969;0,99175990885786;0,9726500208781;0,826738756451217
"20090901";0,704532054491333;0,444350600600601;0,728315372602863;0,536238243081706;0,814918788851013
"20090902";0,741334661974143;0,548406862745098;0,688633036753996;0,457195409135392;0,814918788851013
"20090903";0,747321955264687;0,448588709677419;0,71514084176956;0,463850876384709;0,754762382193704
"20090904";0,71558823291253;0,52734375;0,775686129985754;0,530268352960571;0,754762382193704
"20091001";0,644627851335831;0,767866884888161;0,861957341980003;0,839178771857539;0,702649656526006
"20091002";0,811606768294407;0,866261398176292;0,915377634079971;0,867736252162085;0,800785083415113
"20091003";0,722273051599793;0,945171849427169;1;0,890717406290039;1
"20091004";1;0,819148936170213;0,977871561658192;0,892616754108845;0,923454367026497
"20091101";0,533785859621108;0,707762557077626;0,69670638620037;0,71408920887919;1
"20091102";0,445590703983123;0,792322002367665;1;0,890274968175106;1
"20091103";0,312010041334827;0,770029057700291;0,593888910059398;0,524386829005161;0,760497144776621
"20091104";0,0643995685785514;1;0,86353364548226;0,821111600484293;0,726906281491434
"20091201";0,205511554344107;0,232216343327455;1;0,757123135376835;1
"20091202";0,639183821289476;0;1;0,591579708109456;1
"20091203";0,74789917405706;0,339105339105339;0,567805553320592;0,301567594337434;1
"20091204";0,671779044262384;0,643738977072311;0,938507881572336;0,613190738198784;1
"20091301";0,707192123893745;1;0,86767903708358;0,935597324387733;0,917824920751036
"20091302";1;1;1;1;0,869056327724945
"20091303";0,936403394557205;1;0,90966417992388;1;0,600829066081444
"20091304";1;1;0,999445131759396;1;0,820287734698854
"20091401";0,405185202911141;0,734597156398104;1;0,76559454770685;1
"20091402";0,994791189156176;0,734597156398104;1;0,712268820025309;1
"20091403";1;0,899443643107356;1;0,753565623534617;1
"20091404";0,0114444555620182;1;1;0,629307277902836;1
"20091501";0,406731562630745;0,893514901216654;0,849938609589219;0,92879986591501;0,943780433820274
"20091502";0,420547844022996;0,793057260855006;0,91005830617057;0,942352457606906;0,877379371403276
"20091503";0,801944238585845;0,842807711319822;0,849676716709214;0,866182055541119;1
"20091601";0,969152271917833;0,629718599862732;0,600493425764802;0,75337086982856;1
"20091602";1;0,700085966043413;0,667469216843518;0,761354365357923;1
"20091603";1;0,663120567375887;0,726172490980959;0,882684406947203;1
"20091604";0,959154192345762;0,786052009456265;0,724419026894867;0,802957289163503;0,82531894013739
"20091701";0,290104960401347;0,334987593052109;0,488301271355486;0,342189192324776;0,978332721263312
"20091702";0,294037072725386;0,243883434626772;0,458468036691971;0,26667537424515;0,94160852001469
"20091703";0,133410376624088;0,436081242532855;0,405808294621092;0,310162612056317;1
"20091704";0,220495474917609;0,40994623655914;0,475005010449669;0,424272167057014;1
"20091801";0,920835257967302;0,757575757575757;1;0,751119632403891;1
"20091802";0,562897463127839;0,773002754820937;1;0,825568214810438;0,923240938166311
"20091803";0,921281328444215;0,760606060606061;1;0,788945401370742;0,843283582089552
"20091804";0,808221931101428;0,789341692789969;0,970501156378442;0,797611717828528;1
"20091901";0,96077157470329;0,956261726078799;0,919688304778797;0,920707771739455;1
"20091902";1;0,871108058608059;0,868308862241196;0,808922013561786;1
"20091903";0,939601924758052;0,819156804733728;0,857189935525769;0,841269325016655;0,681353265145555
"20091904";1;0,900735294117647;0,972568123712841;0,853191699930579;0,85837922895358
"20092001";0,392944359658895;0,571625344352617;0,793151975134508;0,924259553628274;0,772714565278166
"20092002";0,930215581605904;0,692148760330578;0,75952599732448;0,844275273673922;0,828627341347498
"20092003";0,599846930964314;0,640495867768595;0,817443683528284;0,791385890687491;0,716801789208834
"20092004";0,845877894468969;0,640495867768595;0,780706358132221;0,894506771494779;0,716801789208834
"20092101";0,415887392977313;0,646701388888889;0,729449334673429;0,494120512322876;0,754762382193704
"20092102";0,829686702661868;0,688657407407407;0,747043179012685;0,489644938507913;0,794866653298576
"20092103";0,887720498715365;0,688657407407407;0,739337227616251;0,470978067986031;0,674553839983958
"20092104";0,749921131063675;0,698450854700855;0,60479074127288;0,416959954722033;0,55424102666934
"20092201";0,554754645127261;0,859279609279609;0,901186653806008;0,819703653867691;1
"20092202";0,570234936789841;0,825163398692811;0,78048496726871;0,739278265298555;1
"20092203";0,625770840727383;0,875850340136055;0,858121860910028;0,723626927211541;1
"20092301";0,605151340908103;0,626502805236441;0,731942761702492;0,641096680878867;1
"20092302";0,623559178953094;0,501269035532995;0,723097508551202;0,610833471524146;1
"20092303";0,692787180161443;0,532994923857868;0,435571860747467;0,0995528229896644;0,584891548242334
"20092304";0,381377358438992;0,279187817258883;0,431740909743909;0,500761177616152;0,734480179506357
"20092401";0,0331943921032999;0,681818181818182;0,718875892749692;0,832376575021738;0,42943437671609
"20092402";0,304783395152419;0,59610705596107;0,701901209355854;0,828643325752123;0,42943437671609
