"";"I2M2";"classe";"p(BAD)";"p(POOR)";"p(MODERATE)";"p(GOOD)";"p(HIGH)"
"20090101";0,747114152707692;1;2,5635718354427e-35;6,85710819172928e-22;8,94700221375152e-12;0,0662059056904674;0,933794094300586
"20090102";0,832856263461999;1;2,29546938034204e-45;7,78706616305484e-30;1,30317202877173e-17;0,000586454646489372;0,999413545353511
"20090103";0,837220405552269;1;6,52283707515554e-46;2,8320058712641e-30;6,07081556553931e-18;0,00042805199513375;0,999571948004866
"20090104";0,942174947459325;1;4,47421506104432e-60;7,37328138930559e-42;6,15533211912123e-27;2,31759602624318e-08;0,99999997682404
"20090301";0,248565298630216;4;0,0553532557983993;0,912941272024267;0,0317054166455176;5,55318157013929e-08;0
"20090302";0,238065374308677;4;0,0835077938845695;0,897241090182939;0,0192510990587583;1,68737330774604e-08;0
"20090303";0,255037073885389;4;0,0421363900027579;0,915591732223597;0,042271764569097;1,13204548291002e-07;0
"20090304";0,151256747103468;5;0,648221693776629;0,351714714190593;6,35920326141903e-05;1,62980740014973e-13;0
"20090403";0,278978700309085;4;0,0134669055762365;0,878832367062525;0,107699362494245;1,36486699309213e-06;2,22044604925031e-16
"20090404";0,377733339294478;3;1,23576720691966e-05;0,221808286402255;0,774555748649559;0,00362360685456053;4,21556900498388e-10
"20090503";0,872723426017894;1;1,76626619818981e-46;1,45664365344291e-27;8,92544023376263e-14;4,56437199178865e-05;0,999954356279993
"20090504";0,851660482150968;1;7,41174930372923e-44;1,41058849295186e-25;2,01165419175878e-12;0,000246035775403586;0,999753964222585
"20090601";0,481476515560848;3;1,27795748073209e-10;0,00203784419164747;0,716694965149289;0,281239350217381;2,78403138876948e-05
"20090602";0,467507155966014;3;7,70745873044202e-10;0,00481780498865714;0,801027095998546;0,194147082276838;8,01596521371462e-06
"20090603";0,443083239043742;3;1,47725468429768e-08;0,0181840890218294;0,894669385642237;0,0871457553933169;7,55170069477451e-07
"20090604";0,513771225464268;2;1,48419734525519e-12;0,000209444891354177;0,469276120871343;0,530145035889913;0,000369398345906213
"20090701";0,760162647474612;1;2,22297251137461e-33;7,3108023421638e-18;1,89933658439065e-07;0,0518200773259199;0,948179732740422
"20090702";0,803548275990054;1;3,67089602114513e-38;2,45917652293394e-21;1,26435325168961e-09;0,00606626454472159;0,993933734190925
"20090703";0,82316493515209;1;1,96147484592552e-40;5,14048998297442e-23;1,02301061594274e-10;0,00182735830974836;0,998172641587951
"20090704";0,837034153028021;1;4,41347649820596e-42;3,03542819969286e-24;1,57462237466760e-11;0,000716071836133838;0,99928392814812
"20090801";0,79341477722472;1;5,1487854199991e-37;1,70540215908016e-20;4,36138879977793e-09;0,0106524615358491;0,989347534102762
"20090802";0,806764942844694;1;1,57355334019014e-38;1,31831059715227e-21;8,46096851205056e-10;0,00503275717213411;0,994967241981769
"20090803";0,878933161767696;1;2,87543929730404e-47;3,65425556661283e-28;3,44242845203162e-14;2,68714826981865e-05;0,999973128517267
"20090804";0,922426555453784;1;5,5518096344916e-53;1,46040567892035e-32;2,80736740282477e-17;4,28929998698794e-07;0,999999571070001
"20090901";0,627693999599247;2;7,56636909368534e-21;2,59851031180366e-09;0,00843765857843639;0,847424451581281;0,144137887241772
"20090902";0,630129418047704;2;4,74867846203111e-21;1,92886142228209e-09;0,00736690496964065;0,836975935642462;0,155657157459036
"20090903";0,606326384098283;2;4,06369126421531e-19;3,20563415133838e-08;0,0252555513654496;0,907380459390838;0,0673639571873709
"20090904";0,649067700616068;2;1,16811740534119e-22;1,75194447880179e-10;0,00237630762476126;0,732616726757439;0,265006965442606
"20091001";0,777214209341803;1;1,07282021832974e-38;1,56915763787339e-24;1,12244684439782e-13;0,0171831455666188;0,982816854433269
"20091002";0,859588922128826;1;9,12864514858077e-49;1,40418439294489e-32;1,07144970149614e-19;7,58983795317103e-05;0,999924101620468
"20091003";0,919551855943766;1;7,40876244440563e-57;3,3915253247382e-39;7,8159841446032e-25;2,78624373392384e-07;0,999999721375627
"20091004";0,916434403028047;1;2,02382070240677e-56;7,76563145593328e-39;1,49885158409918e-24;3,86262722202302e-07;0,999999613737278
"20091101";0,724662144321182;1;1,02560526982677e-29;2,87358776456834e-15;6,56127636432812e-06;0,182269076924746;0,817724361798887
"20091102";0,841547102784469;1;1,26244358747452e-42;1,18857542353659e-24;8,42277033482667e-12;0,000519560557415055;0,999480439434162
"20091103";0,601091320518233;2;1,04823511243516e-18;5,76947949619999e-08;0,0322051918697274;0,913216601309733;0,0545781491257451
"20091104";0,742180042543513;1;1,70189529282339e-31;1,60687114037037e-16;1,2163040598674e-06;0,103405974214204;0,896592809481736
"20091201";0,643959415306443;2;3,21935358049576e-22;3,39390265950721e-10;0,00326773034505078;0,764554191552715;0,232178077762844
"20091202";0,618317646594887;2;4,4462601160101e-20;8,0046893325758e-09;0,0139369950222834;0,880827170173995;0,105235826799032
"20091203";0,546987579357587;2;9,77392541831771e-15;1,32141521454808e-05;0,22633763995129;0,770186402264833;0,00346274363172205
"20091204";0,763643250473118;1;9,45449005248988e-34;3,95925445834534e-18;1,30631017778006e-07;0,0447426424384143;0,955257226930568
"20091301";0,897141571491926;1;1,28074165276418e-49;5,78563008051609e-30;1,92506951183375e-15;5,20712874151045e-06;0,999994792871257
