"";"Shannon (B1B2)";"ASPT (B2B3)";"Polyvoltinism (B1B2B3)";"Ovoviviparity (B1B2B3)";"Richness (B1B2B3)"
"10200502";3,78164217109465;7,07142857142857;0,254303110316806;0,0503133095106217;56
"20100101";4,16981808327569;6,9;0,22052092390619;0,0220956172597631;60
"20100102";4,04760913386711;6,92857142857143;0,202129896418637;0,00578088160199634;58
"20100201";3,41813500687183;7,2;0,212126092470114;0,0322138694714181;56
"20100202";3,4176492359203;7;0,204844308304543;0,0341148154539166;49
"20100203";3,50485910238411;6,92592592592593;0,197213722074652;0,022011378257377;51
"20100204";3,63382894553668;6,76666666666667;0,196093907693486;0,0426228826490119;54
"20100301";1,87261269045643;4,94736842105263;0,407342666637972;0,267764030799686;31
"20100302";1,97476758324029;5,04545454545455;0,404356544448955;0,269074867886886;34
"20100303";2,71142614002472;5,33333333333333;0,428807377135185;0,270573391911874;32
"20100304";2,23597348080235;5,21052631578947;0,416959646017642;0,276552019388888;32
"20100401";3,08668107248762;5,27272727272727;0,364841244432097;0,229565810315503;54
"20100402";2,85004110112714;5,3;0,401291349616715;0,279712115018004;44
"20100403";2,77312180565318;4,81818181818182;0,36689242228893;0,289840831550583;47
"20100501";3,33179147026134;7,03846153846154;0,240109796892431;0,0635098879827071;58
"20100503";3,97125800782314;6,89655172413793;0,245454987780276;0,0613808821299013;63
"20100504";3,86711847528279;7,125;0,227753436627319;0,0507230666366746;70
"20100601";1,32094699003308;5,89473684210526;0,344882294685628;0,0776082005392004;39
"20100602";2,18931654336925;5,71428571428571;0,350991054068412;0,0728056165414098;35
"20100603";1,94723172739714;5,5625;0,430565779835609;0,0563215397003271;29
"20100604";2,02013552708396;5,78947368421053;0,427403422214248;0,0594390455786797;36
"20100701";2,95948196765228;6,96;0,20533653702961;0,0290319841931569;58
"20100702";2,64876649398981;6,875;0,208909108919113;0,0331396033250857;50
"20100703";2,84548117818375;6,96;0,193564863045191;0,0238246201481934;58
"20100704";3,85672012032938;7,3125;0,188646535760596;0,0236458207175394;64
"20100801";3,35470102041238;7,09375;0,17121353123527;0,0092274873995407;67
"20100802";3,72858202817323;7,16;0,150202226152862;0,00615671627509755;55
"20100803";4,43354977390115;7,07407407407407;0,15827712699756;0,0189475967124388;54
"20100804";4,33380576775578;7,28;0,151055814666964;0,0150324898717086;57
"20100901";3,33922088146268;6,26666666666667;0,280450498857265;0,180425662026683;55
"20100902";3,21033965634633;5,83870967741935;0,284044641722004;0,184016137178379;52
"20100903";2,88147599421326;5,7037037037037;0,286467502641401;0,168481683484932;53
"20100904";3,26414710823212;5,89655172413793;0,298324029006642;0,187009581407982;55
"20101001";3,67411089865284;7,21739130434783;0,192215110008776;0,0226190362308999;54
"20101002";3,90852936173331;6,96153846153846;0,204459318175458;0,0259847516924985;50
"20101003";4,03358706196429;6,78787878787879;0,180751388117079;0,0239065439445604;64
"20101004";4,23636750953983;7,21875;0,216191098701692;0,0299323244051458;68
"20101103";2,99362268251692;5,77272727272727;0,310218458337029;0,167461492140158;46
"20101104";2,62899679397191;6,23076923076923;0,326980309516691;0,200183819610135;45
"20101201";2,25026772204443;4,91666666666667;0,363896963224103;0,154773987852591;46
"20101202";2,93449932373351;5,84615384615385;0,327861848818193;0,185186546366653;51
"20101203";3,01577423231616;5;0,385446839072884;0,217010616850352;38
"20101204";3,07786417351351;5,38095238095238;0,350277162388705;0,204005471403295;55
"20101301";3,99065464778494;7,1304347826087;0,209459945648542;0,0484841131103989;48
"20101302";4,13091947055489;7;0,182538335941656;0,0268428229388597;51
"20101303";4,54210504994608;7,07692307692308;0,18289512348533;0,0314930131707379;62
"20101304";4,51735600664149;6,56521739130435;0,179990555082229;0,0703992633086827;51
"20101403";3,89360626514351;5,96153846153846;0,301864334907462;0,117650911111555;52
"20101404";3,2308134194645;5,95238095238095;0,286222254682044;0,0917554483847828;49
"20101501";3,85393606761231;7,17857142857143;0,212216682364451;0,06283402882577;66
"20101502";4,18880410233598;6,74193548387097;0,205386673656181;0,0520688640712421;59
"20101503";3,51690313551921;7;0,202997239076027;0,0603030511553112;59
"20101601";3,79923012258512;6,09375;0,292084919737975;0,0548713626972051;70
"20101602";4,02941783198632;6,48148148148148;0,284901385193206;0,0478384737365423;64
"20101603";3,24958613955729;6,51851851851852;0,287345707353477;0,0553511094189507;71
"20101604";4,25323546187284;6,43333333333333;0,267017816477869;0,0544438254687407;80
"20101701";2,45830956215119;5,72727272727273;0,381748876352392;0,241334307877131;40
"20101702";1,7846202030107;5,6;0,331523029605347;0,199188450259378;41
"20101703";1,28702607133928;5,13333333333333;0,424641303388032;0,237384648906629;28
"20101704";1,35643601886484;5,8695652173913;0,33406520313093;0,20600033240475;48
"20101801";3,42820843254136;6,09090909090909;0,237399331760057;0,0680855437555165;58
"20101802";3,46969720081672;6,25;0,236038447958624;0,0719415373602303;57
"20101803";3,24314804865972;6,25806451612903;0,233731112341055;0,0667679042272589;58
"20101804";3,99214693284862;6,75;0,212179641902721;0,0570896551917489;60
"20101901";4,1989964214877;6,13513513513514;0,262160665211583;0,144810446873121;69
"20101902";4,45067229793304;6,05128205128205;0,250966451894121;0,152623399313679;77
"20101903";3,86167423186916;6,19444444444444;0,237436599541455;0,118164317423682;74
"20101904";3,93274023269387;6,07894736842105;0,25554158053335;0,137868568297963;75
"20102001";2,52518397548527;6,03571428571429;0,312334716334204;0,104948017053823;53
"20102002";2,22575351676828;5,8695652173913;0,329657940287815;0,105455910274945;46
"20102003";2,54630644307985;5,75;0,307612754575893;0,0874191622729486;49
"20102004";1,80243197955704;6;0,306502874182988;0,0959054527520185;52
"20102101";3,58409035278718;6,66666666666667;0,280904442238099;0,174325943452328;62
"20102102";4,24436291009231;6,57142857142857;0,274364043920282;0,17162479157816;63
"20102103";3,72935515203059;6,45454545454545;0,277616147027125;0,185055930701194;62
"20102104";3,98584353448646;6,07692307692308;0,26027984368062;0,169082093257254;54
"20102201";3,55945580355937;6,35897435897436;0,270586579267403;0,158347360278788;69
"20102202";3,9145729716414;6,46153846153846;0,266320551743364;0,153270386531214;72
"20102203";2,84505003253833;6,61111111111111;0,26854976581042;0,142689466259274;65
